Item ID,Item Name,Category,Quantity,Unit Price ($),Status
1,Arduino Uno Rev3,Microcontrollers,12,24.5,In Stock
2,Raspberry Pi 4 Model B (4GB),Single Board Computer,8,55.0,In Stock
3,ESP32 Development Board,Wireless Modules,15,6.5,In Stock
4,Breadboard (830 Point),Prototyping,20,85.0,In Stock
5,DE10-Lite FPGA Board,Logic Design,3,45.0,Low Stock
6,Logic Analyzer,Test Equip,2,23.0,Low Stock
7,Servo Motor,Actuators,4,2.5,Low Stock
8,Ultrasonic Sensor,Sensors,0,5.0,Out of Stock
9,USB-TTL Cable,Cables,0,3.2,Out of Stock
10,DHT11 Sensor,Sensors,10,3.2,In Stock
